No,Kode,Nama Puskesmas,Raw Text
142,1000099570,MILA,MILA Jl. Jabal Ghafur Mila Pidie Aceh Non Rawat Inap Perdesaan
143,1000099441,MUARA TIGA,MUARA TIGA Jl. Simpang Beutong - Laweung Muara Tiga Pidie Aceh Rawat Inap Perdesaan
144,1000099635,MUTIARA BARAT,MUTIARA BARAT Jl. Dayah Babul Mu'Arif Mutiara Pidie Aceh Non Rawat Inap Perkotaan
145,1000099439,PADANG TIJI,PADANG TIJI Jl. Teungku Panglima Polem No.6 Padang Tiji Pidie Aceh Rawat Inap Perdesaan
146,1000099623,PEUKAN BARO,PEUKAN BARO Jl. Banda Aceh - Medan Km.121 Peukan Baro Pidie Aceh Non Rawat Inap Perdesaan
147,1000099506,PIDIE,PIDIE Jl. Sigli - Garot Gampong Barat Pidie Pidie Aceh Non Rawat Inap Perkotaan
148,1000099415,SAKTI,SAKTI Jl. Tangse No.3 Kota Bakti Sakti Pidie Aceh Rawat Inap Perdesaan
149,1000099544,SIMPANG TIGA,SIMPANG TIGA Jl. Sigli - Kembang Tanjong Simpang Tiga Pidie Aceh Non Rawat Inap Perdesaan
150,1000099477,TANGSE,TANGSE Jl. Beureununen - Meulaboh Km.46 Tangse Pidie Aceh Rawat Inap Terpencil
151,1000099520,TIRO,TIRO Jl. Pintu Satu Tiro/Truseb Pidie Aceh Non Rawat Inap Perdesaan
152,1000099518,KEUMALA,KEUMALA Jl. Beureununen - Meulaboh Km.12 Keumala Pidie Aceh Non Rawat Inap Perdesaan
153,1000099491,MUTIARA,"MUTIARA Jl. Banda Aceh - Medan Km.125,5 Mutiara Timur Pidie Aceh Non Rawat Inap Perkotaan"
154,1000099659,UJONG RIMBA,UJONG RIMBA Jl. Blang Malu - Didoh No.3 Mutiara Timur Pidie Aceh Non Rawat Inap Perdesaan
155,1000099609,GRONG-GRONG,GRONG-GRONG Jl. Grong-Grong - Reubee No.18 Grong Pidie Aceh Non Rawat Inap Perdesaan
156,1000099568,MANE,MANE Jl. Tangse - Geumpang Mane Pidie Aceh Non Rawat Inap Terpencil
157,1000099532,GLUMPANG BARO,GLUMPANG BARO Jl. Tgk. Syik Di Trueng Campli No.4 Glumpang Baro Pidie Aceh Non Rawat Inap Perdesaan
158,1000099611,TITEUE,TITEUE Jl. Tangse - Beureununen Titeue Pidie Aceh Non Rawat Inap Perdesaan
159,1000078825,BAKTIYA,"BAKTIYA Ds. Kd. Sawang, Kec. Baktiya Baktiya Aceh Utara Aceh Rawat Inap Perdesaan"
160,1000079049,DEWANTARA,DEWANTARA Jl. Kesehatan Krueng Geukeuh Dewantara Aceh Utara Aceh Non Rawat Inap Perdesaan
161,1000078837,KUTA MAKMUR,KUTA MAKMUR Jl. Buloh Balng Arah Km 12.5 Kuta Makmur Aceh Utara Aceh Rawat Inap Perdesaan
162,1000078784,LHOKSUKON,LHOKSUKON Jl. Diponegoro No. 1 Lhoksukon Aceh Utara Aceh Rawat Inap Perdesaan
163,1000079013,BUKET HAGU,"BUKET HAGU Ds. Buket Hagu, Kec. Lhoksukon Lhoksukon Aceh Utara Aceh Non Rawat Inap Perdesaan"
164,1000078863,MATANGKULI,MATANGKULI Jl. Masjid Matangkuli Aceh Utara Aceh Rawat Inap Perdesaan
165,1000078796,MUARA BATU,"MUARA BATU Ds. Krueng Mane, Kec. Muara Batu Muara Batu Aceh Utara Aceh Rawat Inap Perdesaan"
166,1000078849,MEURAH MULIA,MEURAH MULIA Jl. Irigasi Meurah Mulia Aceh Utara Aceh Rawat Inap Perdesaan
167,1000078966,SAMUDERA,SAMUDERA Jl. Raya Banda Aceh - Medan Samudera Aceh Utara Aceh Non Rawat Inap Perdesaan
168,1000078772,SEUNUDON,SEUNUDON Kec. Seunudon Seunuddon Aceh Utara Aceh Rawat Inap Perdesaan
169,1000078942,BLANG GEULUMPANG,BLANG GEULUMPANG Kec. Seunudon Seunuddon Aceh Utara Aceh Non Rawat Inap Perdesaan
170,1000078904,SYAMTALIRA ARON,SYAMTALIRA ARON Jl. Banda Aceh - Medan Km 292 Syamtalira Aron Aceh Utara Aceh Non Rawat Inap Perdesaan
171,1000078801,SYAMTALIRA BAYU,"SYAMTALIRA BAYU Keude Bayu, Kec. Syamtalira Bayu Syamtalira Bayu Aceh Utara Aceh Rawat Inap Perdesaan"
172,1000078813,TANAH LUAS,TANAH LUAS Jl. Tgk Dibalee Tanah Luas Aceh Utara Aceh Rawat Inap Perdesaan
173,1000078887,TANAH PASIR,"TANAH PASIR Ds. Jrat Manyang, Kec. Tanah Pasir Tanah Pasir Aceh Utara Aceh Rawat Inap Perdesaan"
174,1000078875,TANAH JAMBO AYE,"TANAH JAMBO AYE Ds. Kd. Mtg Panyang, Kec. Tanah Jambo Aye Tanah Jambo Aye Aceh Utara Aceh Rawat Inap Perdesaan"
175,1000079025,LHOK BEURINGEN,LHOK BEURINGEN Kec. Tanah Jambo Aye Tanah Jambo Aye Aceh Utara Aceh Non Rawat Inap Perdesaan
176,1000078851,SAWANG,"SAWANG Ds. Keude Sawang, Kec. Sawang Sawang Aceh Utara Aceh Rawat Inap Terpencil"
177,1000078978,BABAH BULOH,BABAH BULOH Jl. Gampong Teungoh-Pt Kka Gampong Babah Buloh Sawang Aceh Utara Aceh Non Rawat Inap Perdesaan
178,1000078760,NISAM,NISAM Jl. Keude Nisam Nisam Aceh Utara Aceh Rawat Inap Perdesaan
179,1000078928,COT GIREK,COT GIREK Jl. Lhoksukon - Cot Girek Km Xi Cot Girek Aceh Utara Aceh Non Rawat Inap Perdesaan
180,1000079051,LANGKAHAN,LANGKAHAN Kec. Langkahan Langkahan Aceh Utara Aceh Non Rawat Inap Terpencil
181,1000079063,SIMPANG TIGA,SIMPANG TIGA Kec. Langkahan Langkahan Aceh Utara Aceh Non Rawat Inap Perdesaan
